RMS_X,RMS_Y,RMS_Z,Band_Power_Z_Low,Band_Power_Z_Mid,Band_Power_Z_High,label
0.011949672,0.011369139,0.076341387,3.05E-07,2.39E-06,0.000942326,healthy
0.011776013,0.011111597,0.075062148,2.73E-06,6.71E-06,0.00090677,healthy
0.011843112,0.011049687,0.07330567,2.95E-07,6.84E-07,0.000903881,healthy
0.011819062,0.011043893,0.070452103,3.55E-07,7.11E-07,0.000835312,healthy
0.011710798,0.011065796,0.069853206,2.99E-07,1.10E-06,0.000817325,healthy
0.011655369,0.011115361,0.069208159,9.39E-07,2.69E-06,0.000784116,healthy
0.011582823,0.011199311,0.068877334,3.99E-07,8.57E-07,0.000787875,healthy
0.011541293,0.011326612,0.0677898,3.77E-07,1.15E-06,0.00075917,healthy
0.011646408,0.011408026,0.06806102,5.68E-07,1.95E-06,0.000753108,healthy
0.011488582,0.011299278,0.069775297,4.16E-07,7.99E-07,0.000787561,healthy
0.011768129,0.011324435,0.069693981,3.85E-07,9.53E-07,0.000793687,healthy
0.011945596,0.011401555,0.070383005,4.68E-07,1.27E-06,0.00081575,healthy
0.011970316,0.011323848,0.070941864,5.31E-07,1.24E-06,0.000823022,healthy
0.011888967,0.011321531,0.071479906,4.25E-07,1.04E-06,0.000844816,healthy
0.011799022,0.011195739,0.070352839,3.77E-07,1.04E-06,0.00081545,healthy
0.011706426,0.011000144,0.069309969,3.34E-07,8.37E-07,0.000805509,healthy
0.011551212,0.011097285,0.06845487,9.33E-07,2.11E-06,0.000771129,healthy
0.011702381,0.011244498,0.068522962,2.27E-07,1.18E-06,0.000790453,healthy
0.011531828,0.011209549,0.068543388,5.01E-07,9.07E-07,0.000764806,healthy
0.011528762,0.011295059,0.069222191,3.53E-07,1.13E-06,0.000775549,healthy
0.011779333,0.011294686,0.070294342,8.67E-07,2.71E-06,0.000799401,healthy
0.011884321,0.011377228,0.07125726,2.69E-07,6.57E-07,0.000854077,healthy
0.011602042,0.011283619,0.071958588,3.40E-07,1.19E-06,0.000867233,healthy
0.011876217,0.011158835,0.072096918,4.70E-07,1.22E-06,0.000873338,healthy
0.011825614,0.011207883,0.073270898,2.48E-07,9.64E-07,0.000903835,healthy
0.011951933,0.011432646,0.073773137,3.49E-07,1.44E-06,0.000906462,healthy
0.012000227,0.011462547,0.074953422,4.94E-07,1.20E-06,0.000957262,healthy
0.012220005,0.011575538,0.076595527,2.85E-07,3.31E-06,0.000994277,healthy
0.012206402,0.011269212,0.075965885,2.07E-06,5.67E-06,0.000969896,healthy
0.01190952,0.011371259,0.07430469,3.83E-07,2.40E-06,0.00093477,healthy
0.011562904,0.011106415,0.072538604,2.56E-07,7.98E-07,0.000868631,healthy
0.011601448,0.011067754,0.07184539,4.35E-07,9.08E-07,0.000875402,healthy
0.011480433,0.011454713,0.071503649,4.26E-07,1.85E-06,0.000837007,healthy
0.011430551,0.011251526,0.070668425,2.27E-07,7.46E-07,0.000824772,healthy
0.011489419,0.011046576,0.069225413,2.76E-07,8.13E-07,0.000782591,healthy
0.011428861,0.011136191,0.0671853,1.85E-06,5.69E-06,0.00071848,healthy
0.011371471,0.011195277,0.066912701,3.83E-07,9.79E-07,0.000721691,healthy
